bicCode,Country,City,Company
MSUU,Denmark,RISSKOV,M/S CONTAINERS A/S
MSVU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MSWU,Denmark,Copenhagen,MAERSK A/S
MSYU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MSZU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MTAU,Spain,MADRID,FINEBRO 3 S.L.
MTBU,HK,KOWLOON,MULTIBOXX LIMITED
MTCU,Singapore,Singapore,MERLION HOLDINGS PTE LTD
MTEU,Belgium,ANTWERPEN,BAYER AGRICULTURE BVBA
MTGU,United States,WARREN,MATHESON TRI-GAS INC
MTIU,United States,"RIDGELAND, MS-39152",MILLER INTERMODAL LOGISTICS SERVICES INC
MTLU,Cyprus,LIMASSOL,DUTCH ANTILLEAN CONTAINER LEASING NV
MTMU,Malaysia,PORT KLANG,MTT SHIPPING SDN. BHD.
MTNU,Netherlands,Galder,MOUNTAIN HOLDING B.V.
MTOU,United Kingdom,"ROWLANDS GILL, TYNE & WEAR NE39 IEH",METANO  LTD
MTPU,Czech Republic,PRAGUE 10,"METRANS, a.s."
MTRU,United States,"PURCHASE, NY 10577-2135",TAL INTERNATIONAL
MTSU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
MTTU,Russian Federation,St Petersburg,TATIANA TSIBIKOVA
MTUU,United States,"MANKATO, MN-56001",MTU ONSITE ENERGY CORPORATION
MTVU,Italy,GENOVA (GE),CONTAINERS MTV
MTYU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
MUCU,Italy,BARI,G.T.S SPA
MUKU,"Korea, Republic of",SEOUL,"MUTO CO., LTD"
MULU,Belarus,Minsk,«MUVLINK» LLC
MUMU,Germany,FRANKFURT AM MAIN,INTERRAIL EUROPE GMBH
MUOU,Spain,MADRID,"MARGUISA SHIPPING LINES, S.L.U."
MURU,France,CHALON SUR SAONE,FRAMATOME SAS
MUTU,Portugal,LISBOA,MUTUALISTA ACOREANA TRANSP. MARITIMOS SA
MVCU,Finland,TURKU -,OY MOONWAY AB
MVIU,Denmark,Copenhagen,MAERSK A/S
MVLU,Russian Federation,Saint-Petersburg,MASTER VALLEY RESOURCES LTD
MVWU,Japan,OSAKA,"MORITA CHEMICAL INDUSTRIES CO, LTD"
MWAU,Portugal,Lisboa,MEDWAY ASSETS - GESTÃO DE ATIVOS S.A.
MWCU,Denmark,Copenhagen,MAERSK A/S
MWIU,United States,"Pleasanton, CA 94588",MASTERANK WAX INC
MWLU,"Korea, Republic of",SEOUL,MUWON LS LTD
MWMU,Denmark,Copenhagen,MAERSK A/S
MWTU,China,SHANGHAI 201203,"SHANGHAI MILKYWAY CHEMICAL LOGISTICS CO, Ltd"
MWWU,United States,"BRIDGEWATER, NJ 08807",MESSER LLC
MXCU,Singapore,Singapore,MAXICON CONTAINER LINE PTE LTD
MXFU,Japan,Tokyo,MEXICHEM FLUOR JAPAN LIMITED
MXMU,France,AIX-EN-PROVENCE,MODALIS
MXSU,Cyprus,LIMASSOL,MAXX SERVICES LIMITED
NABU,Germany,SEEVETAL / BULLENHAUSEN,ECST CONTAINER SERVICES & TRADING GMBH
NAFU,Norway,KJELLER,NDMA
NAGU,Belgium,Antwerpen,TRANSPORT NAGELS N.V.
NAIU,Switzerland,HUNENBERG,SAGER ASSETS S.A.
NAKU,HK,CENTRAL,WEST OCEAN SHIPPING COMPANY LIMITED
NARU,Germany,HAMBURG,MT CONTAINER GMBH
NATU,Belgium,MONS,SHAPE
NAXU,Japan,"3,MITA-CHO",NIPPON AEROSIL LTD
NAZU,Russian Federation,"NEVINNOMYSSK, STAVROPOL TERRITORY",JSC NEVINNOMYSSKY AZOT
NBCU,Netherlands,Bleiswijk,BUNNIK CREATIONS
NBGU,Netherlands,JL GIESSEN,ROLANDE LNG B.V
NBTU,Japan,TOKYO,NISSAN BUTSURYU CO LTD
NBYU,China,"NINGBO,ZHEJIANG PROV","NINGBO OCEAN SHIPPING CO,LTD"
NCCU,Japan,CHIYODA-KU - TOKYO,NIPPON CONCEPT CORPORATION
NCLU,HK,HONGKONG,"CAREER (HK) CO., LIMITED"
NCSU,Germany,HANAU,DAHER NUCLEAR TECHNOLOGIES GMBH
NCTU,South Africa,CAPE TOWN,ORCA CONTAINER ASSET MANAGEMENT
NCXU,Norway,STAVANGER,NOR LINES INTERNATIONAL
NDAU,United Kingdom,WARRINGTON WA36AS,INTERNATIONAL NUCLEAR SERVICES LTD
NDCU,France,ROCHE LA MOLIERE,NIDEC
NDSU,Netherlands,ROTTERDAM,NILE DUTCH AFRICA LINE
NDXU,Germany,HAMBURG,NORDEX ENERGY GMBH
NECU,United Kingdom,HAROLD HILL RM3 8UF,NAT SHIPPING BAGGING SERVICES LTD. & ASSOCIATES
NENU,Spain,VALENCIA,BOLUDA LINES S.A
NEOU,Slovakia,Galanta,NEOMAT SRO
NEPU,France,MARSEILLE CEDEX 02,CMA-CGM
NESU,Sweden,STENUNGSUND,BOREALIS AB
NETU,Poland,Leszno,SOLAR NETWORKS SP ZOO
NEVU,United States,"SAN FRANCISCO, CA 94105",CAI INTERNATIONAL
NEWU,Germany,Hamburg,CR CONTAINER TRADING GMBH
NFAU,Japan,TOKYO,MITSUBISHI GAS CHEMICAL COMPANY INC
NFCU,Saudi Arabia,Dammam,NATIONAL FACTORY FOR PROCESSING AND TREATING MINERALS
NFLU,Denmark,COPENHAGEN,DFDS A/S
NFPU,India,MUMBAI,NAVIN FLUORINE INTERNATIONAL LTD
NFRU,Spain,VALENCIA,BOLUDA LINES S.A
NFSU,Singapore,Singapore,KMG SINGAPORE PTE LTD
NFWU,Spain,VALENCIA,BOLUDA LINES S.A
NGCU,United States,"HOUSTON, TX-77093","VALQUA NGC, INC."
NGEU,Belgium,Schoten,NIPPON GASES BELGIUM
NGTU,"Virgin Islands, British",TORTOLA,FTLL LIMITED
NGZU,Russian Federation,Novomoskovsk. Tula region,"JOINT STOCK COMPANY ""AZOT"""
NHCU,Japan,OSAKA,MITSUI & CO LTD
NHIU,Norway,OSLO,NIPPON GASES NORGE AS
NIDU,Netherlands,ROTTERDAM,NILE DUTCH AFRICA LINE
NIKU,Russian Federation,NORILSK,NORILSK FORWARDING COMPANY LTD
NIMU,Germany,DUISBURG,RRT RHEIN-RUHR TERMINAL GESELLSCHAFT FUR CONTAINER
NINU,Georgia,TBILISI,REF TRANS 2013 LTD
NIOU,Netherlands,HORNTJE TEXEL,ROYAL NIOZ
NIPU,China,ULANQAB,"NORTH INLAND PORT INTERNATIONAL LOGISTICS CO.,LTD"
NIQU,Greenland,NUUK,NUUK IMEQ
NIRU,Netherlands,Barendrecht,NIRINT SHIPPING BV
NISU,Greece,PIRAEUS,TECHNOPYR SA
NJBU,Singapore,SINGAPORE,CS EURASIA LEASING (SEA) PTE LTD
NJFU,United Kingdom,Stamford,NJ FROMENT AND COMPANY LIMITED
NKLU,Greece,PIRAEUS,NORTHERN LIGHTS SHIPPING
NKNU,Russian Federation,Tatarstan Republic,PJSC NIZHNEKAMSKNEFTEKHIM
NKTU,Turkey,MERSIN,ALTUN LOJISTIK A.S.
NLAU,United States,"White Plains, NY 10606",NRS LOGISTICS INC.
NLBU,India,BHAVNAGAR,NIRMA LIMITED
NLCU,France,Saint-Paul-Trois-Châteaux,LVNF NUCLEAR & LOGISTIC CONSULTING
NLHU,New Zealand,AUCKLAND AIRPORT,NEPTUNE PACIFIC LINE PTE LTD
NLKU,Germany,Unterschleißheim,KSH GMBH
NLLU,HK,"JORDAN, KOWLOON",NOBLE CONTAINER LEASING LIMITED
NLNU,Norway,STAVANGER,NOR LINES INTERNATIONAL
NLRU,Russian Federation,Moscow,"LLC ""NEW LOGISTIC"""
NMAU,United States,"PATUXENT RIVER, MD 20670","COMMANDER, NAVAL AIR SYSTEMS COMMAND AIR 6.7.6.2"
NMCU,Australia,Orange,NEWCREST MINING LIMITED
NMFU,United Kingdom,SOUTHAMPTON,NATIONAL OCEANOGRAPHY CENTRE
NMHU,Trinidad and Tobago,POINT LISAS,MASSY GAS PRODUCTS (TRINIDAD) LTD
NMKU,Russian Federation,DUDINKA,PJSC MINING AND METALLURGICAL COMPANY NORILSK NICKEL
NMSU,Cambodia,"KHAN POR SEN CHEY, PHNOMPENH",TRANSNOMICS LTD
NMTU,Turkey,ISTANBUL,NMT KONTEYNER A.S
NNCU,Canada,"MONTREAL ,QUEBEC",CANADIAN ROYALTIES INC
NOAU,Norway,Bergen,NORWEGIAN DEFENCE MATERIAL AGENCY (NDMA)
NOBU,Sweden,GOTHENBURG,NORDIC BULKERS AB
NOCU,Italy,S STEFANO MAGRA (SP),NORA SPA
NOFU,Germany,Hamburg,NORTH OIL AND FATS GMBH
NOKU,India,New Delhi,NAUKA LINES PTE LTD
NOLU,France,MARSEILLE CEDEX 02,CMA-CGM
NONU,United States,Omaha,"TSL COMPANIES, INC."
NORU,Norway,OSLO,TANK MANAGEMENT A/S
NOSU,France,MARSEILLE CEDEX 02,CMA-CGM
NOWU,Spain,QUART DE POBLET- VALENCIA,NORWOOD SHIPPING SA
NOXU,Singapore,JURONG,LEEDEN NATIONAL OXYGEN LTD
NPCU,United States,"CLEVELAND, OH 44116",NEWPORT TANK CONTAINERS INC
NPFU,Spain,VALENCIA,BOLUDA LINES S.A
NPJU,Spain,VALENCIA,BOLUDA LINES S.A
NPLU,Viet Nam,HO CHI MINH CITY,SAIGON NEWPORT ONE MEMBER LTD LIABILITY CORP
NPOU,Russian Federation,Tomsk,OOO NPO REASIB
NPPU,Russian Federation,Moscow,NPP SPETSAVIA LLC
NPRU,United States,"JACKSONVILLE, FL 32256",SEA STAR LINE LLC
NPWU,Spain,VALENCIA,BOLUDA LINES S.A
NPZU,Belarus,Mozyr-11,JSC MOZYR OR
NRAU,Trinidad and Tobago,COUVA,AEROGAS PROCESSORS LIMITED
NRCU,China,SHANGHAI,SHANGHAI NRS-NORINCO LOGISTICS CO.LTD
NRIU,United States,"ROSENHAYN, NJ 08352",NATIONAL REFRIGERANTS INC.
NRKU,Netherlands,Numansdorp,NR COOLING SERVICES B.V.
NRSU,Japan,TOKYO,NRS CORPORATION
NSAU,Saudi Arabia,JEDDAH,THE NATIONAL SHIPPING CO OF SAUDI ARABIA
NSCU,Russian Federation,ARKHANGELSK,NORTHERN SHIPPING COMPANY
NSEU,Belgium,ZEEBRUGGE,NORTH SEA EXPRESS
NSGU,United States,"STAMFORD, CT-06902",NBC SPORTS
NSMU,Italy,FONTANAFREDDA,GRU COMEDIL SRL
NSOU,Norway,GAMLE FREDRIKSTAD,NORDIC SHELTER AS
NSRU,"Korea, Republic of",SEOUL 100-760,NAM SUNG SHIPPING CO LTD
NSSU,"Korea, Republic of",SEOUL 100-760,NAM SUNG SHIPPING CO LTD
NSTU,Nepal,KATHMANDU,NEPAL SHIPPING AND MULTI MODEL TRANSPORT
NSWU,Germany,Nordenham,NORDDEUTSCHE SEEKABELWERKE GMBH
NTAU,Denmark,AALBORG,NT RENTAL APS
NTOU,Estonia,NARVA,NARVATANK LTD
NTTU,China,JIANGSU,"NANTONG TANK CONTAINER CO, LTD"
NUSU,France,MARSEILLE CEDEX 02,CMA-CGM
NVGU,United States,"NORTH CHARLESTON,SC 29418","NOVA GAS TECHNOLOGIES,INC"
NVOU,United Arab Emirates,Dubai,NAVIO SHIPPING LLC
NWBU,Netherlands,RIJSSEN,NIJHOF WASSINK B.V.
NWNU,Belgium,EVERGEM,NWM-EUROPE NV
NXSU,France,VERSAILLES,NEXTER SYSTEMS
NXTU,France,VERSAILLES CEDEX,NEXTER MUNITIONS
NYCU,Japan,TOKYO 135-0041,NIYAC CORPORATION
NYKU,Japan,TOKYO,NYK LINE
NZDU,Denmark,BAGSVERD,NOVOZYMES A/S
NZKU,Denmark,BAGSVERD,NOVOZYMES A/S
NZLU,New Zealand,AUCKLAND,CONTAINER SALES & LEASING LTD
OACU,Cyprus,STROVOLOS,LINDE-HADJIKYRIAKOS GAS LTD.
OAKU,United States,"Oak Ridge, TN-37831",OAK RIDGE NATIONAL LABORATORY
OASU,United Arab Emirates,Bur-DUBAI,OCEAN AXIS SHIPPING SERVICES LLC
OATU,India,Mumbai,OPAL ASIA INDIA PVT LTD
OBCU,Suriname,PARAMARIBO,N.V. COBO CONSTRUCTION
OBEU,Chile,Antofagasta,FERROCARRIL ANTOFAGASTA A BOLIVIA
OBTU,China,"NANTONG, JIANGSU",JIANGSU O-BEST NEW MATERIALS CO LTD
OCAU,Cyprus,Limassol,OCEANBOX CONTAINERS LTD
OCBU,HK,WANHAI,OCEAN BLUE FINANCE GROUP LIMITED
OCCU,Netherlands,RHOON,ORANGE CONTAINER LINE B.V.
OCEU,Egypt,ALEXANDRIA,OCEAN EXPRESS COMPANY
OCGU,United States,"SAN FRANCISCO, CA 94108",TEXTAINER EQUIPMENT MANAGEMENT LIMITED
OCHU,United Arab Emirates,Dubai,OCEAN CHEMICAL DMCC
OCIU,United States,"KING OF PRUSSIA, PA 19406",ARKEMA INC.
OCLU,Denmark,Copenhagen,MAERSK A/S
OCOU,HK,Hong Kong,AONOCO LIMITED
OCVU,Netherlands,ROTTERDAM,O.C.C. OVERBEEK CONTAINER CONTROL BV
ODDU,South Africa,PORT ELIZABETH,WELFIT ODDY (PTY) LIMITED
OEGU,Singapore,Singapore,OEG OFFSHORE PTE LTD
OERU,United States,"Secaucus, NJ 07094",ORIENTAL EQUIPMENT SERVICES INC
OESU,Austria,Leoben,OSTU-STETTIN
OEXU,Spain,MADRID,"MARGUISA SHIPPING LINES, S.L.U."
OFFU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
OFSU,United Kingdom,"Coleshill, Birmingham, B46 1JY",OILFIELD HIRE AND SERVICES
OGCU,Australia,BROOKVALE NSW 2100,SPEEDGAS PTY LTD
OGPU,Russian Federation,Moscow,ROZA MIRA LLC
OGTU,United States,"NORFOLK, NE-68702",ORPHAN GRAIN TRAIN INC.
OKWU,Malaysia,Johor Bahru,NDUNESE SEALAND SDN BHD
OLCU,Lithuania,Mazeikiai,OILCORE UAB
OLTU,United States,"Irvine, CA 92614",ODYSSEY FOODTRANS
OMAU,Australia,SMEATON GRANGE,OMNI TANKER PTY LTD
OMCU,South Africa,Bryanston,OMINA GROUP (PTY) LTD
OMNU,Italy,MILANO MI,AIR LIQUID ITALIA SERVICE SRL
OMSU,Portugal,Aljustrel,ORICA MINING SERVICES PORTUGAL
ONEU,Singapore,Singapore,OCEAN NETWORK EXPRESS PTE. LTD.
ONLU,Oman,MUSCAT,OMAN SHIPPING COMPANY S.A.O.C
OOCU,HK,WANCHAI,ORIENT OVERSEAS CONTAINER LINE LTD.
OOLU,HK,WANCHAI,ORIENT OVERSEAS CONTAINER LINE LTD.
OPDU,France,MARSEILLE CEDEX 02,CMA-CGM
OPLU,India,Mumbai,OPAL ASIA INDIA PVT LTD
OPOU,Morocco,Rabat-Souissi,COMMONWEALTH OF AUSTRALIA
OPTU,United States,"WEST CHESTER, PA 19381",OPTIMODAL INC
ORAU,Russian Federation,MOSCOW,INTERMODAL LOGISTICS PLUS LLC
ORBU,Kenya,NAIROBI,ORBIT CHEMICAL INDUSTRIES LIMITED
ORCU,South Africa,CAPE TOWN,ORCA CONTAINER ASSET MANAGEMENT
OREU,Russian Federation,VLADIVOSTOK,ORIENT EXPRESS LLC
ORGU,Turkey,ISTANBUL,OREGON TEKNOLOJI HIZMETLERI AS
ORIU,Italy,Cagliari,VINCI & CAMPAGNA SPA
ORNU,France,PIERRELATTE CEDEX,ORANO CYCLE
OROU,Italy,Maniago,AUTOGASERVICE S.R.L.
ORPU,Russian Federation,UST-KUT,OJC OCETROVSKIY RIVER PORT
OSCU,"Korea, Republic of",SEOUL,OCI COMPANY LTD
OSHU,Czech Republic,ZELATOVICE,OMEGA SERVIS HOLDING
OSKU,United Arab Emirates,FUJAIRAH,OCEANIC STAR LINE LTD
OSLU,Germany,Höxter,OSTERMANN TRANSPORTE GMBH
OSMU,New Zealand,AUCKLAND,KOPPERS PERFORMANCE CHEMICALS NEW ZEALAND
OSRU,Germany,NURNBERG,SIEMENS GAS AND POWER GMBH & CO. KG
OSSU,Netherlands,ROTTERDAM,DEN HARTOGH LIQUID LOGISTICS BV
OSTU,Switzerland,Basel,SUNCONTRACT GMBH
OTAU,France,MARSEILLE CEDEX 02,CMA-CGM
OTEU,United States,"SAN FRANCISCO, CA 94105",CAI INTERNATIONAL
OTFU,France,PIERRELATTE,OTND ONET TECHNOLOGIES
OTLU,Malaysia,Penang,OVERLAND TOTAL LOGISTIC SERVICES (M) SDN BHD
OTPU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
OTSU,Japan,OSAKA,OTSUKA CHEMICAL CO LTD
OTTU,Netherlands,MOERKAPELLE,OTTEVANGER MILLING ENGINEERS
OULU,Finland,Oulu,OULUN KONTTIVUOKRAUS OY
OUTU,Finland,ESPOO,OUTOTEC (FINLAND) OY
OVLU,Finland,HELSINKI,O.V. LAHTINEN OY
OVZU,Belarus,MINSK,JOINT VENTURE 'OVZ-TRANS'LLC
OWEU,United States,"SHOW LOW, AZ-85901",OWENS ENERGY
OWHU,Finland,PORI,OY HACKLIN LTD
OWLU,United States,"OAKLAND, CA-94607",ONE WAY LEASE INC.
OWMU,United Arab Emirates,SHARJAH,OILWELL MIDDLE EAST FZE
OWNU,Italy,LA SPEZIA  SP,TARROS SPA
OWSU,Israel,PETAH-TIKYA,ODIS IRRIGATION EQUIPMENT (2002) LTD
OXNU,Italy,MILANO MI,SIPCAM OXON S.P.A
OXYU,France,SAINT DIVY,OXYMONTAGE
OZMU,Belarus,Osipovichi,GJSC OTEW
OZTU,Turkey,"Atasehir, Istanbul",OZTURK NAKLIYAT VE INSAAT SAN.TIC.LTD.STI
PACU,United States,"DUBLIN, OH 43016",XPO LOGISTICS
PAGU,Italy,MANTOVA MN,PAGANELLA SPA
PALU,India,Mylapore Chennai,PAN ASIA LOGISTICS INDIA PVT LTD
PANU,Switzerland,DAGMERSELLEN,PANGAS
PARU,Cyprus,LIMASSOL,PARKOLIO SHIPPING COMPANY LIMITED
PASU,Viet Nam,Ho Chi Minh,PACIFIC LINES
PATU,HK,Hong Kong,PACIFICO CONTAINER LIMITED
PAVU,Greece,ATHENS,LOGIKA LTD
PBBU,Argentina,BUENOS AIRES,PBBPOLISUR S.R.L
PBFU,New Zealand,AUCKLAND,PACIFIC BULK FUEL LIMITED
PBIU,United States,"HOUSTON, TX 77229-4425",PRO BOX INC.
PBKU,"Korea, Republic of",SEOUL,PAN BRIDGE SHIPPING CO LTD
PBSU,Belize,BELIZE CITY,P. LEASING CORPORATION LIMITED
PBXU,Australia,BURPENGARY EAST,PREMIER BOX PTY LTD
PCAU,Vanuatu,PORT VILLA,GENERAL SERVICING AND TRADING LTD
PCCU,France,PARIS,PROJEXTRADE
PCFU,Spain,BARCELONA,TRANSPORTES PORTUARIOS S.A
PCHU,Netherlands,TER AAR,PIETERSE CONTAINERHANDEL & TRANSPORT B.V.
PCIU,Singapore,Singapore,PACIFIC INTERNATIONAL LINES (PTE) LTD
PCLU,"Korea, Republic of",SEOUL,PAN CONTINENTAL SHIPPING CO LTD
PCMU,Germany,PULLACH,UNITED INITIATORS GMBH
PCTU,Poland,DEBICA,PC LOGISTIC SP. Z O.O.
PCVU,Netherlands,ROTTERDAM,PEACOCK CONTAINER BV
PDAU,China,Dalian,DALIAN JIFA BOHAI RIM CONTAINER LINES CO LTD
PDIU,United States,"CLAYTON, MO 63105",PERIMETER SOLUTIONS LP
PDLU,New Zealand,AUCKLAND,PACIFIC DIRECT LINE
PDQU,Belgium,KALLO (KIELDRECHT),KATOEN NATIE TANK OPERATIONS N.V.
PEFU,France,MARDYCK,VERSALIS FRANCE SAS
PEGU,Italy,SANTENA,PRODIT ENGINEERING S.R.L.
PEIU,Italy,SAN DONATO MILANESE (MI),VERSALIS S.P.A
PENU,United Kingdom,RICHMOND,PENSPEN LTD
PERU,Sweden,Gothenburg,PERTHON GROUP
PEXU,Thailand,BANGKOK,"PENEX CONTAINER LINES (THAILAND) CO,LTD"
PFCU,France,VILLEPINTE,PETIT FORESTIER CONTAINER
PFLU,New Zealand,AUCKLAND,PACIFIC FORUM LINE (NZ) LTD
PGAU,China,NANNING LIANGQING DISTRICT,PAN-GULF LOGISTICS LTD
PGHU,United States,"SAN RAFAEL, CA-94903",THE PASHA GROUP
PGIU,"Taiwan, China",SIANSI,PAO GAN INDUSTRIAL CO LTD
PGOU,HK,Hong Kong,FIVE OCEANS LOGISTICS LTD
PGTU,France,LA DEFENSE,TOUAX
PGXU,HK,Hong Kong,FLORENS ASSET MANAGEMENT COMPANY LIMITED
PHEU,United Arab Emirates,DUBAI,AIR LIQUIDE GLOBAL HELIUM FZE
PHIU,Philippines,"CALAMBA, LAGUNA",AIR LIQUIDE PIPELINE UTILITIES SERVICES INC
PHLU,United States,"San Francisco, CA 94111-2602",SPINNAKER LEASING CORPORATION
PHMU,Russian Federation,ST PETERSBURG,POLOMA MANAGEMENT LTD
PHRU,"Korea, Republic of",BUSAN,PYEONG HWA REEFER SERVICES INC
PIAU,France,Pierrelatte,SAS TRANSPORTS PIALLA
PICU,Italy,PARMA PR,AUTOTRASPORTI PICCININI S.R.L.
PIFU,South Africa,CAPE TOWN,PEDDIE INVESTMENT TRUST
PILU,Singapore,Singapore,PACIFIC INTERNATIONAL LINES (PTE) LTD
PIMU,Bulgaria,PLOVDIV,PIMK LTD
PIZU,Peru,LIMA,PRAXAIR PERU S.R.L
PKEU,"Korea, Republic of",SEOUL,"PANTOS LOGISTICS CO.,LTD"
PKKU,United Arab Emirates,DUBAI,EKC INTERNATIONAL FZE
PLCU,Netherlands,HOOGVLIET,PLCS INTERNATIONAL
PLGU,United States,"CLINTON, NJ 08809",GULBRANDSEN COMPANIES
PLNU,Austria,GMUNDEN,POLL NUSSBAUMER GMBH
PLTU,Germany,Bakum,PANEUROPA TRANSPORT GMBH
PLWU,Poland,BYDGOSZCZ,INSPEKTORAT WSPARCIA SZ U.L DWERNICKIEGO 1
PMAU,United States,Penuelas (Porto Rico),PETRO-TAINO TRANSPORT CORPORATION
PMBU,Ukraine,ODESSA,PBM GAS LTD
PMKU,India,Nasik Road - Dist. Nasik (MH),MDB CHEMICALS (INDIA) PVT LTD
PMLU,Singapore,Singapore,PERMA SHIPPING LINE PTE LTD
PMMU,Germany,Memmingen,PFEIFER SEIL- UND HEBETECHNIK GMBH
PMTU,Estonia,"JURI, HARJUMAA",PUUMAAILM LTD
PMUU,Spain,VILLARROBLEDO,PANALON MULTIMODAL
PMXU,United States,"CHRISTIANSTED, VI-00820",PSI TIRE SUPPLY LLC
PNAU,China,SHANGHAI,SPECTRA CHEMICALS AND COMMODITIES (SHANGHAI)
PNBU,Denmark,Esbjerg V,JORN BOLDING A/S
PNCU,United States,"HONOLULU, HI 96817",PACIFIC ENVIRONMENTAL CORP.
PNEU,United States,"KENT, WA 98032",PACIFIC NORTHWEST EQUIPMENT INC
PNHU,United States,"LIHUE,  HI 96766",KQ SPEEDIE LUB 2 LLC
PNIU,Indonesia,JAKARTA,PT. PELAYARAN NASIONAL INDONESIA
PNSU,Austria,Vienna,PANASYSTEM HANDELS GMBH
PNWU,United States,"KENT, WA 98032",PACIFIC NORTHWEST EQUIPMENT INC
POAU,China,SHANGHAI,PRIMY OCEAN AIR LOGISTICS CO LTD
POCU,Denmark,Copenhagen,MAERSK A/S
POLU,"Korea, Republic of",Seoul,PANOCEAN
POMU,Russian Federation,OZERSK,FSUE PRODUCTION ASSOCIATION MAYAK
PONU,Denmark,Copenhagen,MAERSK A/S
PORU,Singapore,Singapore,PORTEK SYSTEMS & EQUIPMENT PTE LTD
PPCU,"Taiwan, China",TAOYAN CITY,KANTO-PPC INC
PPGU,United States,"Houston, TX 77002",ALTIVIA SPECIALTY CHEMICALS
PPLU,Switzerland,DURRENASCH,BERTSCHI GLOBAL AG
PPSU,New Zealand,AUCKLAND AIRPORT,NEPTUNE PACIFIC LINE PTE LTD
PPTU,Netherlands,BARENDRECHT,TANKGUARD B.V.
PRAU,Italy,GENOVA,COOPERATIVA PARATORI GENOVA A R.L.
PRBU,Switzerland,LUGANO,PRS PASSIVE REFRIGERATION SOLUTIONS S.A.
PRCU,Singapore,Singapore,PRIDE-CHEM INDUSTRIES PTE LTD
PRFU,Kenya,Nairobi,PRIMEFUELS LIMITED
PRGU,France,MARSEILLE,PROGECO
PRKU,"Taiwan, China",TAIPEI CITY,PROTANK LOGISTICS CO LTD
PRMU,Paraguay,Asuncion,PARAMAR S.A.
PROU,Denmark,HINNERUP,PRO-TRANS A/S
PRSU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
PRTU,Portugal,FUNCHAL-MADEIRA,GS LINES - TRANSPORTES MARITIMOS LDA
PRXU,United States,"SPRING, TX-77380",PRAXAIR HELIUM
PSCU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
PSDU,United Kingdom,PRESTON,PIGOTT SHAFT DRILLING LIMITED
PSEU,"Korea, Republic of",BUSAN,"PANSTAR CO, LTD"
PSGU,"Korea, Republic of",BUSAN,PSG CORPORATION
PSHU,Argentina,BUENOS AIRES,PALMDEAL SHIPPING INC
PSMU,Italy,La Spezia,TRADING LOGISTIC SAC SRL
PSNU,United Kingdom,Stockton-on-Tees,PARSONS CONTAINERS LTD
PSOU,United Kingdom,SOUTHAMPTON,PENTALVER TRANSPORT LIMITED
PSRU,Italy,GENOVA,PARATORI S.R.L.
PSSU,United Kingdom,SOUTHAMPTON,PENTALVER TRANSPORT LIMITED
PSTU,Italy,MODENA,TETRA PAK PACKAGING SOLUTIONS SPA
PSXU,HK,WANCHAI,PSG CONTAINER CO LTD
PTBU,Netherlands,MOERDIJK,GCATAINER BV
PTCU,Netherlands,SCHIEDAM,MAMMOET EUROPE BV
PTKU,United Kingdom,SOUTHPORT PR9OER,PALTANK LTD
PTLU,Russian Federation,SAINT-PETERSBURG,PLC  LTD
PTRU,Norway,MO I RANA,POSTEN NORGE AS
PTTU,Russian Federation,Irkutsk,PARITET LTD
PTVU,United States,"S.T LOUIS, MO 63026",PISTON TANK CORPORATION
PULU,United Kingdom,Hucknall Nottinghamshire,PORTPACK UK LIMITED
PVCU,United States,"INDIANAPOLIS, IN-46216",PAC-VAN INC
PVDU,Netherlands,ROTTERDAM,UNIT45 BV
PWLU,Brazil,Rio Grande,INTERSUL REPAROS E MANUT. CONT. LTDA.
PWRU,Liberia,MONROVIA,POWERTECH INC
PXAU,Argentina,RICARDO ROJAS.TIGRE,PRAXAIR ARGENTINA SRL
PXCU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
PYAU,Poland,WARSAW,POLISH YACHTING ASSOCIATION
PYHU,Spain,EL SAUZAL,"PISCINAS Y HORMIGONES 7 ISLAS, SLU"
QBCU,Canada,Langley,CUBICFARM MANUFACTURING CORP
QBLU,Netherlands,Ridderkerk,QBEX LOGISTICS BV
QBXU,Germany,BREMEN,CHS CONTAINER HANDEL GMBH
QIBU,Germany,HAMBURG,HAPAG LLOYD A.G
QIMU,Spain,BARCELONA,TCS TRANS S.L.
QINU,United States,Pittsford,QINGBOX GROUP CORP.
QNLU,Qatar,DOHA,QATAR NAVIGATION (QSC)
QNNU,Germany,HAMBURG,HAPAG LLOYD A.G
QPCU,Colombia,CALI,QUIMPAC DE COLOMBIA
QQIU,China,Qingdao,"QINGDAO WSR CONTAINER SERVICE CO., LTD"
QSSU,Indonesia,JAKARTA,PT. INDONESIA TSINGSHAN STAINLESS STEEL
